run	V(vo)
0.000000000000000e+00	5.350801e+00
1.000000000000000e+00	4.633051e+00
2.000000000000000e+00	5.121281e+00
3.000000000000000e+00	5.395088e+00
4.000000000000000e+00	4.986882e+00
5.000000000000000e+00	5.119208e+00
6.000000000000000e+00	5.347319e+00
7.000000000000000e+00	4.842909e+00
8.000000000000000e+00	5.270348e+00
9.000000000000000e+00	4.819512e+00
1.000000000000000e+01	4.785104e+00
1.100000000000000e+01	5.237249e+00
1.200000000000000e+01	5.168604e+00
1.300000000000000e+01	4.973390e+00
1.400000000000000e+01	5.067566e+00
1.500000000000000e+01	4.762341e+00
1.600000000000000e+01	4.639120e+00
1.700000000000000e+01	4.920412e+00
1.800000000000000e+01	5.322870e+00
1.900000000000000e+01	5.085195e+00
2.000000000000000e+01	5.045154e+00
2.100000000000000e+01	4.991871e+00
2.200000000000000e+01	5.024961e+00
2.300000000000000e+01	5.149008e+00
2.400000000000000e+01	4.947176e+00
2.500000000000000e+01	4.637972e+00
2.600000000000000e+01	4.967772e+00
2.700000000000000e+01	5.155369e+00
2.800000000000000e+01	5.144970e+00
2.900000000000000e+01	4.597799e+00
3.000000000000000e+01	4.999810e+00
3.100000000000000e+01	4.745281e+00
3.200000000000000e+01	5.078863e+00
3.300000000000000e+01	5.304277e+00
3.400000000000000e+01	5.288638e+00
3.500000000000000e+01	4.682165e+00
3.600000000000000e+01	4.846300e+00
3.700000000000000e+01	5.340817e+00
3.800000000000000e+01	5.049313e+00
3.900000000000000e+01	5.096858e+00
4.000000000000000e+01	5.368111e+00
4.100000000000000e+01	5.066956e+00
4.200000000000000e+01	4.992572e+00
4.300000000000000e+01	5.085011e+00
4.400000000000000e+01	5.163990e+00
4.500000000000000e+01	4.973636e+00
4.600000000000000e+01	4.881156e+00
4.700000000000000e+01	4.599518e+00
4.800000000000000e+01	4.996109e+00
4.900000000000000e+01	4.832740e+00
5.000000000000000e+01	4.762932e+00
5.100000000000000e+01	4.884424e+00
5.200000000000000e+01	5.183709e+00
5.300000000000000e+01	5.096059e+00
5.400000000000000e+01	5.127180e+00
5.500000000000000e+01	5.090324e+00
5.600000000000000e+01	5.026218e+00
5.700000000000000e+01	4.979572e+00
5.800000000000000e+01	4.950468e+00
5.900000000000000e+01	4.880377e+00
6.000000000000000e+01	5.229700e+00
6.100000000000000e+01	5.470809e+00
6.200000000000000e+01	5.157494e+00
6.300000000000000e+01	5.249773e+00
6.400000000000000e+01	5.316872e+00
6.500000000000000e+01	4.687874e+00
6.600000000000000e+01	4.559917e+00
6.700000000000000e+01	5.257535e+00
6.800000000000000e+01	5.283272e+00
6.900000000000000e+01	5.346907e+00
7.000000000000000e+01	4.952236e+00
7.100000000000000e+01	4.967042e+00
7.200000000000000e+01	5.187333e+00
7.300000000000000e+01	5.114320e+00
7.400000000000000e+01	5.153879e+00
7.500000000000000e+01	4.926763e+00
7.600000000000000e+01	4.864230e+00
